№,shop,brand,model,length_cm,condition,orig_price,price,url
42,xtreme.ge,ARMADA,EDOLLO 91 S26,162,new,,2119.0,https://www.xtreme.ge/en/shop/edollo-91-s26-218124?page=6
43,xtreme.ge,ARMADA,EDOLLO S25,172,new,2469.0,1979.0,https://www.xtreme.ge/en/shop/edollo-s25-103423?page=3
44,xtreme.ge,HEAD,KORE 100 Ti Freeride Ski,156,new,,2199.0,https://www.xtreme.ge/en/shop/kore-100-ti-freeride-ski-215253?page=5
45,xtreme.ge,HEAD,KORE 100 Ti Freeride Ski,163,new,,2199.0,https://www.xtreme.ge/en/shop/kore-100-ti-freeride-ski-215253?page=5
46,xtreme.ge,HEAD,KORE 100 Ti Freeride Ski,170,new,,2199.0,https://www.xtreme.ge/en/shop/kore-100-ti-freeride-ski-215253?page=5
47,xtreme.ge,HEAD,KORE 100 Ti Freeride Ski,177,new,,2199.0,https://www.xtreme.ge/en/shop/kore-100-ti-freeride-ski-215253?page=5
48,xtreme.ge,HEAD,KORE 100 Ti Freeride Ski,184,new,,2199.0,https://www.xtreme.ge/en/shop/kore-100-ti-freeride-ski-215253?page=5
49,xtreme.ge,HEAD,KORE 100 Ti Freeride Ski Set,156,new,,2769.0,https://www.xtreme.ge/en/shop/kore-100-ti-freeride-ski-set-215330?page=6
50,xtreme.ge,HEAD,KORE 100 Ti Freeride Ski Set,163,new,,2769.0,https://www.xtreme.ge/en/shop/kore-100-ti-freeride-ski-set-215330?page=6
51,xtreme.ge,HEAD,KORE 100 Ti Freeride Ski Set,170,new,,2769.0,https://www.xtreme.ge/en/shop/kore-100-ti-freeride-ski-set-215330?page=6
52,xtreme.ge,HEAD,KORE 100 Ti Freeride Ski Set,177,new,,2769.0,https://www.xtreme.ge/en/shop/kore-100-ti-freeride-ski-set-215330?page=6
53,xtreme.ge,HEAD,KORE 100 Ti Freeride Ski Set,184,new,,2769.0,https://www.xtreme.ge/en/shop/kore-100-ti-freeride-ski-set-215330?page=6
54,xtreme.ge,HEAD,Kore 103 W,177,new,2299.0,1390.0,https://www.xtreme.ge/en/shop/kore-103-w-103469?page=4
55,xtreme.ge,HEAD,Kore 103 W SET,177,new,2449.0,1959.0,https://www.xtreme.ge/en/shop/kore-103-w-set-103500?page=4
56,xtreme.ge,HEAD,Kore 117 SETa,180,new,2599.0,2079.0,https://www.xtreme.ge/en/shop/kore-117-seta-103365
57,xtreme.ge,HEAD,Kore 85 W,170,new,1199.0,959.0,https://www.xtreme.ge/en/shop/kore-85-w-103470?page=4
58,xtreme.ge,HEAD,Kore 85 w SET,170,new,2299.0,1399.0,https://www.xtreme.ge/en/shop/kore-85-w-set-103464?page=3
59,xtreme.ge,HEAD,Kore 85 w  SET1,156,new,2299.0,1599.0,https://www.xtreme.ge/en/shop/kore-85-w-set1-103463?page=3
60,xtreme.ge,HEAD,Kore 85 W w/o binding,170,new,1199.0,959.0,https://www.xtreme.ge/en/shop/kore-85-w-w-o-binding-103408?page=2
61,xtreme.ge,HEAD,KORE 87 GREY,163,new,1249.0,999.0,https://www.xtreme.ge/en/shop/kore-87-grey-103490?page=4
62,xtreme.ge,HEAD,KORE 88 Ti Freeride Ski,170,new,,2199.0,https://www.xtreme.ge/en/shop/kore-88-ti-freeride-ski-215249?page=5
63,xtreme.ge,HEAD,KORE 88 Ti Freeride Ski,177,new,,2199.0,https://www.xtreme.ge/en/shop/kore-88-ti-freeride-ski-215249?page=5
64,xtreme.ge,HEAD,Kore 91 W,163,new,1519.0,1219.0,https://www.xtreme.ge/en/shop/kore-91-w-103471?page=4
65,xtreme.ge,HEAD,Kore 91 W w/o binding,170,new,1199.0,959.0,https://www.xtreme.ge/en/shop/kore-91-w-w-o-binding-103411?page=2
66,xtreme.ge,HEAD,KORE 94 Ti Freeride Ski,170,new,,2199.0,https://www.xtreme.ge/en/shop/kore-94-ti-freeride-ski-215251?page=5
67,xtreme.ge,HEAD,KORE 94 Ti Freeride Ski,177,new,,2199.0,https://www.xtreme.ge/en/shop/kore-94-ti-freeride-ski-215251?page=5
68,xtreme.ge,HEAD,KORE 99 RED SET,163,new,2449.0,1959.0,https://www.xtreme.ge/en/shop/kore-99-red-set-103497?page=4
69,xtreme.ge,HEAD,KORE 99 RED SET,170,new,2449.0,1959.0,https://www.xtreme.ge/en/shop/kore-99-red-set-103497?page=4
70,xtreme.ge,HEAD,KORE 99 RED SET1,177,new,2449.0,1959.0,https://www.xtreme.ge/en/shop/kore-99-red-set1-103496?page=4
71,xtreme.ge,HEAD,KORE 99 RED SET2,170,new,2449.0,1959.0,https://www.xtreme.ge/en/shop/kore-99-red-set2-103499?page=4
72,xtreme.ge,HEAD,Kore MX 80 LYT-PR SET,163,new,1399.0,1119.0,https://www.xtreme.ge/en/shop/kore-mx-80-lyt-pr-set-103508?page=5
73,xtreme.ge,HEAD,Kore X 90,177,new,1469.0,1179.0,https://www.xtreme.ge/en/shop/kore-x-90-103489?page=4
74,xtreme.ge,HEAD,Kore X 90 R,163,new,1479.0,1179.0,https://www.xtreme.ge/en/shop/kore-x-90-r-103473?page=4
75,xtreme.ge,HEAD,Kore X 90 R,177,new,1479.0,1179.0,https://www.xtreme.ge/en/shop/kore-x-90-r-103473?page=4
76,xtreme.ge,STOECKLI,Laser GS FIS,176,new,,4299.0,https://www.xtreme.ge/en/shop/laser-gs-fis-218218?page=8
77,xtreme.ge,STOECKLI,Laser GS FIS Set,176,new,,4499.0,https://www.xtreme.ge/en/shop/laser-gs-fis-set-219053?page=9
78,xtreme.ge,STOECKLI,Laser GS  Set,175,new,,4499.0,https://www.xtreme.ge/en/shop/laser-gs-set-218959?page=8
79,xtreme.ge,STOECKLI,Laser MP SL Set,148,new,,4649.0,https://www.xtreme.ge/en/shop/laser-mp-sl-set-218944?page=8
80,xtreme.ge,STOECKLI,Laser SC Set,152,new,,4649.0,https://www.xtreme.ge/en/shop/laser-sc-set-218947?page=8
81,xtreme.ge,STOECKLI,Laser SL FIS,165,new,,4549.0,https://www.xtreme.ge/en/shop/laser-sl-fis-218222?page=8
82,xtreme.ge,STOECKLI,Laser SL FIS  Set,156,new,,6199.0,https://www.xtreme.ge/en/shop/laser-sl-fis-set-218950?page=8
83,xtreme.ge,STOECKLI,Laser WRT  PRO Set,158,new,,6499.0,https://www.xtreme.ge/en/shop/laser-wrt-pro-set-218955?page=8
84,xtreme.ge,ATOMIC,MAVERICK 88 CTI,172,new,,2379.0,https://www.xtreme.ge/en/shop/maverick-88-cti-218132?page=6
85,xtreme.ge,ATOMIC,MAVERICK 88 CTI,179,new,,2379.0,https://www.xtreme.ge/en/shop/maverick-88-cti-218132?page=6
86,xtreme.ge,ATOMIC,MAVERICK 88 CTI S26,165,new,,2379.0,https://www.xtreme.ge/en/shop/maverick-88-cti-s26-218131?page=6
87,xtreme.ge,STOECKLI,Montero AR Set,170,new,,5119.0,https://www.xtreme.ge/en/shop/montero-ar-set-218964?page=8
